                                                                                                                                                                               12 May 2026 21:18:32
Satellite-MAVEN1


Penumbra Start Time (UTCG)     Umbra Start Time (UTCG)     Umbra Stop Time (UTCG)     Penumbra Stop Time (UTCG)    Obstruction    Duration (sec)    Max Percent Shadow    Time of Max Shadow (UTCG)
  22 Feb 2015 02:16:08.628    22 Feb 2015 02:16:27.143    22 Feb 2015 02:53:15.053     22 Feb 2015 02:53:30.661    Mars                 2242.034            100.000000     22 Feb 2015 02:16:27.143
  22 Feb 2015 04:50:26.692    22 Feb 2015 04:50:45.017    22 Feb 2015 05:27:44.947     22 Feb 2015 05:28:00.379    Mars                 2253.687            100.000000     22 Feb 2015 04:50:45.017
  22 Feb 2015 07:24:37.757    22 Feb 2015 07:24:55.899    22 Feb 2015 08:02:07.511     22 Feb 2015 08:02:22.772    Mars                 2265.016            100.000000     22 Feb 2015 07:24:55.899
  22 Feb 2015 09:58:41.901    22 Feb 2015 09:58:59.867    22 Feb 2015 10:36:22.835     22 Feb 2015 10:36:37.931    Mars                 2276.030            100.000000     22 Feb 2015 09:58:59.867
  22 Feb 2015 12:32:39.203    22 Feb 2015 12:32:56.996    22 Feb 2015 13:10:31.005     22 Feb 2015 13:10:45.940    Mars                 2286.737            100.000000     22 Feb 2015 12:32:56.996
  22 Feb 2015 15:06:29.738    22 Feb 2015 15:06:47.363    22 Feb 2015 15:44:32.105     22 Feb 2015 15:44:46.884    Mars                 2297.146            100.000000     22 Feb 2015 15:06:47.363
  22 Feb 2015 17:40:13.580    22 Feb 2015 17:40:31.042    22 Feb 2015 18:18:26.221     22 Feb 2015 18:18:40.847    Mars                 2307.267            100.000000     22 Feb 2015 17:40:31.042
  22 Feb 2015 20:13:50.804    22 Feb 2015 20:14:08.108    22 Feb 2015 20:52:13.434     22 Feb 2015 20:52:27.912    Mars                 2317.108            100.000000     22 Feb 2015 20:14:08.108
  22 Feb 2015 22:47:21.484    22 Feb 2015 22:47:38.632    22 Feb 2015 23:25:53.827     22 Feb 2015 23:26:08.163    Mars                 2326.679            100.000000     22 Feb 2015 22:47:38.632
  23 Feb 2015 01:20:45.690    23 Feb 2015 01:21:02.692    23 Feb 2015 01:59:27.479     23 Feb 2015 01:59:41.673    Mars                 2335.984            100.000000     23 Feb 2015 01:21:02.692
  23 Feb 2015 03:54:03.497    23 Feb 2015 03:54:20.350    23 Feb 2015 04:32:54.471     23 Feb 2015 04:33:08.529    Mars                 2345.032            100.000000     23 Feb 2015 03:54:20.350
  23 Feb 2015 06:27:14.973    23 Feb 2015 06:27:31.682    23 Feb 2015 07:06:14.880     23 Feb 2015 07:06:28.805    Mars                 2353.832            100.000000     23 Feb 2015 06:27:31.682
  23 Feb 2015 09:00:20.190    23 Feb 2015 09:00:36.760    23 Feb 2015 09:39:28.785     23 Feb 2015 09:39:42.580    Mars                 2362.390            100.000000     23 Feb 2015 09:00:36.760
  23 Feb 2015 11:33:19.218    23 Feb 2015 11:33:35.651    23 Feb 2015 12:12:36.262     23 Feb 2015 12:12:49.931    Mars                 2370.713            100.000000     23 Feb 2015 11:33:35.651
  23 Feb 2015 14:06:12.124    23 Feb 2015 14:06:28.425    23 Feb 2015 14:25:56.294                      No Data    Mars                 1184.171            100.000000     23 Feb 2015 14:06:28.425
