Time_s,C&DH_Primary,C&DH_Backup,AACS_RWA,AACS_StarTracker,AACS_IMU,AACS_SunSensor,Telecom_X_SDST,Telecom_X_TWTA,Telecom_UHF_Electra,Propulsion_Valves,Propulsion_Heaters,Thermal_Heaters,Thermal_Louvers,Power_PCU,Power_Shunt,Payload_PFP,Payload_IUVS,Payload_NGIMS,Payload_APP_Actuator
294780.000001565,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
294839.999997988,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
294900.00000447,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
294960.000000894,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
295019.999997318,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
295080.0000038,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
295140.000000224,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
295199.999996647,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
295260.000003129,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
295319.999999553,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
295379.999995977,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
295440.000002459,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
295499.999998882,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
295559.999995306,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
295620.000001788,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
295679.999998212,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
295740.000004694,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
295800.000001118,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
295859.999997541,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
295920.000004023,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
295980.000000447,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
296039.999996871,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
296100.000003353,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
296159.999999776,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
296219.9999962,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
296280.000002682,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
296339.999999106,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
296399.99999553,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
296460.000002012,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
296519.999998435,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
296580.000004917,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
296640.000001341,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
296699.999997765,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
296760.000004247,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
296820.000000671,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
296879.999997094,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
296940.000003576,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
297000,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
297059.999996424,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
297120.000002906,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
297179.999999329,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
297239.999995753,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
297300.000002235,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
297359.999998659,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
297419.999995083,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
297480.000001565,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
297539.999997988,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
297600.00000447,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
297660.000000894,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
297719.999997318,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
297780.0000038,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
297840.000000224,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
297899.999996647,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
297960.000003129,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
298019.999999553,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
298079.999995977,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
298140.000002459,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
298199.999998882,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
298259.999995306,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
298320.000001788,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
298379.999998212,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
298440.000004694,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
298500.000001118,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
298559.999997541,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
298620.000004023,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
298680.000000447,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
298739.999996871,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
298800.000003353,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
298859.999999776,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
298919.9999962,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
298980.000002682,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
299039.999999106,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
299099.99999553,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
299160.000002012,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
299219.999998435,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
299280.000004917,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
299340.000001341,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
299399.999997765,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
299460.000004247,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
299520.000000671,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
299579.999997094,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
299640.000003576,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
299700,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
299759.999996424,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
299820.000002906,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
299879.999999329,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
299939.999995753,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
300000.000002235,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
300059.999998659,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
300119.999995083,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
300180.000001565,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
300239.999997988,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
300300.00000447,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
300360.000000894,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
300419.999997318,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
300480.0000038,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
300540.000000224,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
300599.999996647,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
300660.000003129,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
300719.999999553,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
300779.999995977,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
300840.000002459,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
300899.999998882,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
300959.999995306,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
301020.000001788,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
301079.999998212,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
301140.000004694,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
301200.000001118,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
301259.999997541,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
301320.000004023,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
301380.000000447,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
301439.999996871,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
301500.000003353,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
301559.999999776,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
301619.9999962,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
301680.000002682,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
301739.999999106,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
301799.99999553,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
301860.000002012,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
301919.999998435,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
301980.000004917,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
302040.000001341,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
302099.999997765,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
302160.000004247,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
302220.000000671,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
302279.999997094,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
302340.000003576,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
302400,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
302459.999996424,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
302520.000002906,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
302579.999999329,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
302639.999995753,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
302700.000002235,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
302759.999998659,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
302819.999995083,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
