Orbit,E_solar_Wh,E_demand_Wh,SOC_min_pct,SOC_max_pct,SOC_mean_pct,Eclipse_s,Theta_mean_deg,Energy_ratio
21,2271.94443333333,2742.935,24.1156675286964,37.8650345715204,31.1981019631519,0,88.1001222222222,0.828289563308403
22,2389.88148333333,2466.33833333333,24.1511027018253,37.642668396752,28.9318736897699,0,89.2300037037037,0.968999853358859
23,3474.0861,2850.04833333333,24.2694993007356,37.6065610532432,31.2209528936997,0,76.5865,1.21895690657878
24,1927.4357,2529.48,24.2745844184055,37.4100882372471,29.9194516923092,0,95.0863148148148,0.761988906810886
25,3542.92133333333,2770.53666666667,24.3249259590837,37.3737919861622,29.9662790577607,0,76.0473888888889,1.27878521730447
26,2045.36006666667,2641.01,24.4466620400542,37.3165492531135,30.6955955182644,0,93.2986851851852,0.774461310887375
27,3417.1131,2722.85833333333,24.497202269004,37.1709847155944,29.755515024587,0,77.3440851851852,1.25497278289053
28,1966.60888333333,2600.165,24.567471019607,37.0860835774773,30.4483487651564,0,94.1705296296296,0.756340033549153
29,3471.13143333333,2819.91166666667,24.6165142897653,36.9661990318804,30.4331170336738,0,76.1499703703704,1.23093622908992
30,2123.2442,2542.92666666667,24.6929714476069,36.8487127459528,29.3895478929261,0,92.9184074074074,0.834960845639801
31,2948.915,2809.97,24.7943229468114,36.7743184859703,31.1852002144056,840,83.6659592592593,1.04944714712257
32,3212.00885,2684.39333333333,24.9279455415743,36.7669190960206,29.9663950947757,900,80.9741666666667,1.19654925756037
33,5093.86490595085,3216.9,31.5283577624704,68.2405458168198,49.5678649141177,2160,54.2782037037856,1.58347008174045
34,5085.872287729,3204.35,68.4133715637093,100,85.4924542685485,2340,51.7866000000969,1.58717752047342
35,5477.95637736373,3243.65,96.1051958688598,100,99.6766603375788,1260,52.1607407408376,1.68882474291731
36,4896.49098359901,3189.06666666667,95.8405671296296,100,99.2611574844794,2760,52.5255222223191,1.53539938025723
37,4793.94086685181,3184.7,95.5477129147377,100,99.1629040254788,2880,52.8961592593636,1.50530375446724
38,5021.35176044785,3213.08333333333,95.4445279374892,100,99.5117602147153,2100,53.2719333333967,1.56278292204721
39,4839.16287318626,3197.8,95.1171875,100,99.0207304902549,2520,53.6421296297488,1.51327877702991
40,4530.55599997519,3169.41666666667,94.9363425925926,100,98.8879696751535,3300,54.0142481482562,1.42946052111856
41,4452.82922530193,3169.41666666667,94.8876674423522,100,99.1558768047863,3300,54.3905481482413,1.40493652101131
42,4969.38785549806,3226.18333333333,94.7554977852259,100,99.0300036371086,1740,54.7680888890267,1.54033027328414
43,4647.2346474803,3192.11666666667,93.6795877103047,100,98.396473578872,3540,58.8136851937236,1.45584736798894
44,4218.99169979674,3156.31666666667,94.3938078703704,100,98.6820088833623,3660,55.5179592593561,1.3366820079724
45,4660.65515398337,3208.71666666667,94.3938078703704,100,99.0894712980656,2220,55.9009629630449,1.45249819106809
46,4194.55195026264,3162.86666666667,94.212962962963,100,98.3706912756167,3480,56.2758074074894,1.32618677684673
47,4892.93020114914,3014.7,94.212962962963,100,98.675365296666,3840,44.0402740653793,1.62302391652541
48,5631.02087905107,2888.31666666667,94.0321180555556,100,99.1251741457673,3900,36.6617888939702,1.94958570299346
49,4512.86698346429,3215.26666666667,93.8792835451519,100,98.4683783226456,2040,57.4208740742082,1.40357471131403
50,3825.69412052348,3143.21666666667,93.8459966179285,100,98.0074473530379,4020,57.7990222223303,1.21712707911433
51,3736.52626189303,3138.85,93.6704282407408,100,98.0380084877642,4140,58.1824407408562,1.19041249562516
52,3937.1768759547,3165.05,93.670428413464,100,98.5621935584562,3420,58.5691703704747,1.24395408475528
53,4025.82489992198,3182.51666666667,93.4895833333333,100,97.8454082666118,2940,58.9531037038192,1.26498156069001
54,3580.88888533884,3136.66666666667,93.5466660069,100,97.6097083216483,4200,59.3357962963969,1.1416223863992
55,3478.5909609647,3130.11666666667,93.3087384259259,100,97.805750128789,4380,59.7219851852858,1.11132949068928
56,3787.28713325297,3173.78333333333,93.4051881389854,100,98.1052491183165,3180,60.1127444445376,1.19330361763394
57,3700.72456613928,3167.23333333333,93.2905023268712,100,97.3111630134724,3360,60.4981185186265,1.16844077358976
58,3339.15136851612,3125.75,93.1278935514061,100,97.1351939384891,4500,60.8844222223228,1.06827205263253
59,3257.53686660198,3123.56666666667,93.1278935185185,100,97.4227258879078,4560,61.2732740741672,1.04289013625513
60,3543.98838336413,3165.05,93.1278935185185,100,97.5594372776195,3420,61.666725925993,1.11972587585161
61,3473.56361659306,3165.05,93.0465747974537,100,96.6904676203427,3420,62.0550592593598,1.0974751162203
62,3115.91015015743,3123.56666666667,92.9378924334491,100,96.5501082961039,4560,62.4439185186377,0.997548790428921
63,3044.94182103876,3121.38333333333,92.9470486111111,100,96.7643252793716,4620,62.8355074075378,0.975510373404556
64,3216.31305009953,3147.58333333333,92.865837223135,99.9187886120239,96.6756415960081,3900,63.2303629630337,1.02183570996781
