Time_s,P_solar_STK_W,P_solar_model_W,P_demand_W,P_battery_W,SOC_pct,V_bus_V,P_surplus_W,P_deficit_W,LoadShed,Eclipse_flag,Pointing_mode,Theta_deg,Distance_AU,Beta_deg,Altitude_km,Comm_flag
898440.000009164,0,0,600,600,95.2980324074074,32.0476851851852,0,0,0,2,6,60.067,1.416198,-29.9384402434447,1108.74924846941,1
898500.000005588,0,0,600,600,95.1171875,32.01875,0,0,0,2,6,60.068,1.416198,-29.9370342131726,1068.01019754418,1
898560.000002012,0,0,600,600,94.9363425925926,31.9898148148148,0,0,0,2,6,60.069,1.41619752339852,-29.9360467970441,1027.03537378715,1
898620.000008494,0,0,600,600,94.7554976851852,31.9608796296296,0,0,0,2,6,60.07,1.4161970349105,-29.935069821005,985.892058803965,1
898680.000004917,0,0,600,600,94.5746527777778,31.9319444444444,0,0,0,2,6,60.072,1.416197,-29.9335826320598,944.651853241189,1
898740.000001341,0,0,600,600,94.3938078703704,31.9030092592593,0,0,0,2,6,60.073,1.416197,-29.9320561735361,903.390724357773,1
898800.000007823,0,0,600,600,94.212962962963,31.8740740740741,0,0,0,2,6,60.075,1.416197,-29.9304722425361,862.189200944808,1
898860.000004247,0,0,600,600,94.0321180555556,31.8451388888889,0,0,0,2,6,60.076,1.41619696063234,-29.9288425293455,821.132466758063,1
898920.000000671,0,0,600,600,93.8512731481482,31.8162037037037,0,0,0,2,6,60.078,1.41619641233662,-29.9266493464965,780.310371749173,1
898980.000007153,0,0,600,600,93.6704282407408,31.7872685185185,0,0,0,2,6,60.0800000010058,1.41619585924703,-29.9244369881198,739.817508373321,1
899040.000003576,450.997,514.850212444296,731,280.003,93.4895833333333,31.7583333333333,0,0,0,1,1,60.083,1.41619529161894,-29.9221664757519,699.753190751718,1
899100,1052.395,1162.08837422044,731,-321.395,93.4051881389854,31.7448301022377,0,0,0,0,1,60.085,1.416195,-29.9198588137063,660.221304986155,1
899160.000006482,1049.87599800041,1161.98262086714,731,-318.875998000414,93.4972156665943,31.7595545066551,0,0,0,0,1,60.088,1.416195,-29.9175119005782,621.330212855699,1
899220.000002906,1045.767,1161.91289308923,731,-314.767,93.588521908788,31.7741635054061,0,0,0,0,1,60.09,1.41619452694836,-29.914634741817,583.192524515669,1
899280.000009388,1042.84999973346,1161.80813102633,731,-311.849999733455,93.678651589657,31.7885842543451,0,0,0,0,1,60.0930000010058,1.41619391947735,-29.9115973867315,545.924699558849,1
899340.000005811,1041.26000080064,1161.66813811739,731,-310.260000800639,93.7679460231744,31.8028713637079,0,0,0,0,1,60.097,1.41619329543298,-29.9084771648921,509.64672295797,1
899400.000002235,1038.874,1161.5634110512,731,-307.874,93.856785179943,31.8170856287909,0,0,0,0,1,60.1,1.41619266187941,-29.9053093970573,474.481508284527,1
899460.000008717,1038.07900013378,1161.45869460007,731,-307.079000133775,93.944941134563,31.8311905815301,0,0,0,0,1,60.1030000010058,1.41619201977664,-29.9020988831939,440.554253147899,1
899520.000005141,1038.2129985335,1161.31933584196,731,-307.212998533503,94.0328694506941,31.8452591121111,0,0,0,0,1,60.1070000010058,1.416191,-29.8979164216323,407.99172759367,1
899580.000001565,1035.827,1161.17840737291,731,-304.827,94.1208361356282,31.8593337817005,0,0,0,0,1,60.111,1.41619093376865,-29.8946688432392,376.921332194936,1
899640.000008047,1035.82800053409,1161.03865715208,731,-304.828000534094,94.2081196190628,31.87329913905,0,0,0,0,1,60.115,1.41619014545659,-29.890727282963,347.470096269974,1
899700.00000447,1035.564,1160.93411692732,731,-304.564,94.2954033889881,31.8872645422381,0,0,0,0,1,60.118,1.41618938566133,-29.8863139679749,319.76359938669,1
899760.000000894,1035.167,1160.79428817328,731,-304.167,94.3826115655892,31.9012178504943,0,0,0,0,1,60.122,1.41618863886151,-29.8821943075336,293.924682649158,1
899820.000007376,1035.831,1160.65444189589,731,-304.831,94.4697060660955,31.9151529705753,0,0,0,0,1,60.1260000010058,1.41618789909879,-29.8783945927619,270.072181230873,1
899880.0000038,1032.384,1160.47932086222,731,-301.384,94.5569906948812,31.929118511181,0,0,0,0,1,60.131,1.41618716043724,-29.8739626234455,248.319544562643,1
899940.000000224,1035.037,1160.33851194141,731,-304.037,94.6432883173735,31.9429261307798,0,0,0,0,1,60.135,1.416187,-29.870094714884,228.773393132366,1
900000.000006706,1038.75099786563,1160.23323797493,731,-307.750997865634,94.7303455939698,31.9568552950352,0,0,0,0,1,60.1380000010058,1.41618667429736,-29.8663714867922,211.53213646314,1
900060.000003129,1038.089,1160.09338259994,731,-307.089,94.8184663284329,31.9709546125493,0,0,0,0,1,60.142,1.41618592572646,-29.8626286322814,196.684590559214,1
900119.999999553,1037.427,1159.95353419073,731,-306.427,94.9063975079034,31.9850236012645,0,0,0,0,1,60.146,1.41618516924916,-29.8588462457866,184.308645496956,1
900180.000006035,1038.88600080064,1159.84897553327,731,-307.886000800639,94.9941391317701,31.9990622610832,0,0,0,0,1,60.1490000010058,1.41618439945322,-29.855597812898,174.470086237574,1
900240.000002459,1041.671,1159.70853197055,731,-310.671,95.0822985226726,32.0131677636276,0,0,0,0,1,60.153,1.416184,-29.852438987652,167.221495200579,1
900300.000008941,1043.9260005341,1159.60303413145,731,-312.926000534095,95.1712553640354,32.0274008582457,0,0,0,0,1,60.156,1.41618379892166,-29.8493967649903,162.601309387455,1
900360.000005364,1048.70000040032,1159.53382747595,731,-317.700000400319,95.2608578972227,32.0417372635556,0,0,0,0,1,60.1580000010058,1.41618297660075,-29.8469298022397,160.633091754218,1
900420.000001788,1052.812,1159.42930033811,731,-321.812,95.3518274068859,32.0562923851017,0,0,0,0,1,60.161,1.41618217935391,-29.8445380617431,161.325124959358,1
900480.00000827,1056.12699946691,1159.35903709243,731,-325.126999466911,95.443974337345,32.0710358939752,0,0,0,0,1,60.163,1.416182,-29.8421071351025,164.670465112166,1
900540.000004694,1059.84,1159.28918917775,731,-328.84,95.5370704773592,32.0859312763775,0,0,0,0,1,60.165,1.41618156607834,-29.8401321566735,170.647338743301,1
900600.000001118,1064.217,1159.25483621823,731,-333.217,95.6312297896663,32.1009967663466,0,0,0,0,1,60.166,1.416181,-29.8385574044806,179.219757333628,1
900660.0000076,1064.61500106718,1159.18427566706,731,-333.615001067183,95.726642402393,32.1162627843829,0,0,0,0,1,60.168,1.416181,-29.8370142738535,190.338167379925,1
